rank,nct_id,title,conditions,interventions
2360,NCT02743117,Study to Evaluate the Safety of 1 New 6:2 Influenza Virus Reassortant in Adults for the 2016-2017 Season,Influenza|Healthy,Biological: Monovalent Influenza Vaccine|Other: Placebo
2363,NCT02742766,"Safety, Tolerability and Preliminary Pharmacokinetics (PK) and Pharmacodynamics (PD) of Single and Repeat Oral Doses of GSK3008356 in Healthy and Obese Subjects",Healthy Volunteers,Drug: GSK3008356|Drug: Placebo
2369,NCT02741687,Sitagliptin in Non-Diabetic Patients Undergoing General Surgery,Hyperglycemia,Drug: Sitagliptin|Drug: Placebo|Drug: Supplemental insulin (insulin lispro)|Drug: Supplemental insulin (insulin aspart)|Drug: Long acting basal insulin (insulin detemir)|Drug: Long acting basal insulin (insulin glargine)
2398,NCT02737722,Topically Applied Bisphosphocin Nu-3 on Infected Diabetic Ulcers of Subjects With Type I or II Diabetes Mellitus,Diabetic Foot Infections,Drug: Bisphosphocin Nu-3|Drug: Placebo
2410,NCT02736175,OTX-15:003: A Phase 3 Study Evaluating the Safety and Efficacy of OTX-DP for the Treatment of Ocular Inflammation and Pain After Cataract Surgery,Post-Surgical Ocular Pain|Post-Surgical Ocular Inflammation,Drug: Dexamethasone|Other: Placebo Vehicle
2457,NCT02730455,Safety and Efficacy of Intravenous Natalizumab in Acute Ischemic Stroke,Acute Ischemic Stroke,Drug: natalizumab|Drug: Placebo
2478,NCT02727322,Nitrofurantoin Prophylaxis During Catheter-managed Acute Urinary Retention After Pelvic Reconstructive Surgery,Pelvic Organ Prolapse,Drug: Nitrofurantoin|Drug: Placebo
2480,NCT02726945,Adipose-derived SVF for the Treatment of Knee OA,Osteoarthritis (OA),Device: GID SVF-2|Other: Placebo
2489,NCT02725515,A Study of the Effect of XmAb®5871 in Patients With Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Biological: XmAb5871|Biological: Placebo to match XmAb5871
2493,NCT02724644,EN3835 for the Treatment of Edematous Fibrosclerotic Panniculopathy (Commonly Known as Cellulite),Edematous Fibrosclerotic Panniculopathy|Cellulite,Biological: COLLAGENASE CLOSTRIDIUM HISTOLYTICUM|Biological: Placebo Comparator
2519,NCT02720523,A Study to Compare Upadacitinib (ABT-494) to Placebo in Adults With Rheumatoid Arthritis (RA) Who Are on a Stable Dose of Conventional Synthetic Disease-Modifying Anti-Rheumatic Drugs (csDMARDs) and Have an Inadequate Response to csDMARDs,Rheumatoid Arthritis,Drug: Placebo|Drug: Upadacitinib
2530,NCT02718898,A Study of Ixekizumab (LY2439821) in Participants With Moderate-to-Severe Genital Psoriasis,Genital Psoriasis|Psoriasis,Drug: Ixekizumab|Drug: Placebo
2556,NCT02713789,Phase 2A Clinical Trial Evaluating the Potential Activity and Safety of hMaxi-K Gene for ED,Erectile Dysfunction,Drug: hMaxi-K Single Treatment/ 2 escalating dose levels (8000 µg and 16000 µg injection)|Drug: Placebo (PBS-20% sucrose)
2563,NCT02713243,"To Assess Safety, Tolerability and Efficacy of LJN452 in Patients With Primary Bile Acid Diarrhea.",Primary Bile Acid Diarrhea,Drug: LJN452|Drug: Placebo to LJN452
2586,NCT02709538,Long Term Safety and Efficacy of Fixed Dose Combination GSP 301 Nasal Spray (NS) in the Treatment of Perennial Allergic Rhinitis (PAR),Perennial Allergic Rhinitis,Drug: GSP 301 NS|Drug: GSP 301 Placebo NS pH 3.7|Drug: GSP 301 Placebo NS pH 7.0
2591,NCT02709005,Safety and Efficacy of 5% Monolaurin Vaginal Gel Administered Intravaginally for the Treatment of Bacterial Vaginosis,Bacterial Vaginosis,Drug: 5% Monolaurin Vaginal Gel|Other: Placebo
2597,NCT02708355,Pilot Study To Investigate The Association Between Acid Control And Heartburn Symptoms After Proton Pump Inhibitor Treatment,Heartburn,Drug: Esomeprazole 20 mg|Drug: Placebo
2602,NCT02708095,A Study of Baricitinib (LY3009104) in Participants With Systemic Lupus Erythematosus (SLE),Systemic Lupus Erythematosus,Drug: Baricitinib|Drug: Placebo
2605,NCT02707640,A Study to Assess the Safety and Tolerability of N-Acetylcysteine When Administered With Pirfenidone to Participants With Idiopathic Pulmonary Fibrosis (IPF),Idiopathic Pulmonary Fibrosis,Drug: Matching Placebo|Drug: N-acetylcysteine|Drug: Pirfenidone
2612,NCT02706873,A Study to Compare Upadacitinib (ABT-494) Monotherapy to Methotrexate (MTX) Monotherapy in Adults With Rheumatoid Arthritis (RA) Who Have Not Previously Taken Methotrexate,Rheumatoid Arthritis,Drug: Upadacitinib|Drug: Methotrexate|Drug: Methotrexate Matching Placebo|Drug: Upadacitinib Matching Placebo
2613,NCT02706847,A Study to Compare Upadacitinib (ABT-494) to Placebo in Adults With Rheumatoid Arthritis on Stable Dose of Conventional Synthetic Disease-Modifying Antirheumatic Drugs (csDMARDs) With an Inadequate Response or Intolerance to Biologic DMARDs,Rheumatoid Arthritis,Drug: Placebo|Drug: Upadacitinib
2614,NCT02706834,"Safety, Tolerability and Pharmacokinetics of Escalating Single Doses of TAK-828 in Healthy Participants",Dose Finding Study,Drug: TAK-828|Drug: Placebo
2636,NCT02701985,A Study to Assess the Efficacy of RO5459072 in Participants With Primary Sjogren's Syndrome,Sjogren's Syndrome,Drug: Placebo|Drug: RO5459072
2639,NCT02701634,Efficacy and Tolerability of Entospletinib in Combination With Systemic Corticosteroids as First-Line Therapy in Adults With Chronic Graft Versus Host Disease (cGVHD),Chronic Graft Versus Host Disease,Drug: ENTO|Drug: Placebo
2674,NCT02696798,A Study of Ixekizumab (LY2439821) in TNF Inhibitor Experienced Participants With Radiographic Axial Spondyloarthritis,Spondyloarthritis,Drug: Ixekizumab|Drug: Placebo
2675,NCT02696785,A Study of Ixekizumab (LY2439821) in bDMARD-Naive Participants With Radiographic Axial Spondyloarthritis,Spondyloarthritis,Drug: Ixekizumab|Drug: Placebo|Drug: Adalimumab
2676,NCT02696434,Evaluating Naltrexone for Use in Conjunction With Buprenorphine in Adults With Opioid Use Disorder Transitioning From Buprenorphine Maintenance Prior to First Dose of VIVITROL,Opioid Use Disorder,Drug: Naltrexone|Drug: Placebo|Drug: Buprenorphine
2678,NCT02696291,Safety and Pharmacokinetics of UV-4B Solution Administered Orally as Multiple Ascending Doses to Healthy Subjects,Viral Infection,Drug: UV-4B 30 mg oral solution|Drug: UV-4B 75 mg oral solution|Drug: UV-4B 150 mg oral solution|Drug: UV-4B X mg (dose to be determined) oral solution|Drug: UV-4B Y mg (dose to be determined) oral solution|Drug: Placebo
2753,NCT02685072,Progesterone Augmentation of Nicotine Replacement Therapy Study,Smoking Cessation,Drug: Progesterone (200 mgs BID)|Drug: Placebo
2761,NCT02684396,"Phase 1, TAK-648, Single-Rising Dose Study",Healthy Volunteers,Drug: TAK-648|Drug: TAK-648 Placebo
2792,NCT02679729,"To Assess the Safety, Tolerability and Pharmacokinetics of AZD5634 Following Inhaled and Intravenous (IV)Dose Administration",Cystic Fibrosis,Drug: AZD5634 for inhalation|Drug: AZD5634 for infusion|Other: Placebo
2817,NCT02675426,A Study Comparing Upadacitinib (ABT-494) to Placebo in Adults With Rheumatoid Arthritis on a Stable Dose of Conventional Synthetic Disease-Modifying Antirheumatic Drugs (csDMARDs) Who Have an Inadequate Response to csDMARDs Alone,Rheumatoid Arthritis,Drug: Placebo|Drug: Upadacitinib
2830,NCT02672852,BI 655066 / ABBV-066 (Risankizumab) in Moderate to Severe Plaque Psoriasis With Randomized Withdrawal and Re-treatment,Psoriasis,Drug: Risankizumab|Drug: Placebo
2883,NCT02665260,Safety and Efficacy Study of Topical Cantharidin for the Treatment of Molluscum Contagiosum,Molluscum Contagiosum,Drug: Cantharidin|Drug: Placebo|Device: Gauze occlusion bandage
2889,NCT02664415,Safety and Therapeutic Efficacy of the VRC01 Antibody in Patients Who Initiated Antiretroviral Therapy During Early Acute HIV Infection,HIV Infections,Biological: VRC01|Biological: Placebo for VRC01
2894,NCT02663687,"Phase 1 Study to Assess the Safety, Tolerability, and Pharmacokinetics of Recombinant Human C1 Esterase Inhibitor in Healthy Adult Subjects",Hereditary Angioedema (HAE),Drug: Recombinant human C1 esterase inhibitor|Drug: Placebo|Drug: SHP623
2895,NCT02663674,Efficacy Study of Fluconazole to Treat Coccidioidomycosis Pneumonia (Valley Fever),Coccidioidomycosis,Drug: Fluconazole|Other: Placebo
2940,NCT02656485,"A Double Blind, Placebo-Controlled, Randomized Study in Subjects With Acne Vulgaris",Acne Vulgaris,Drug: B244|Drug: Placebo
2951,NCT02655237,A Phase 3 Study to Evaluate the Efficacy and Safety of Relugolix (TAK-385) 40 mg Compared With Leuprorelin in the Treatment of Uterine Fibroids,Uterine Fibroids,Drug: Relugolix|Drug: Relugolix Placebo|Drug: Leuprorelin|Drug: Leuprorelin Placebo
2954,NCT02654717,Eight Week Study of Treatment With DFD-07 for Actinic Keratosis of the Face and Scalp,Actinic Keratosis,Drug: DFD-07 Cream|Drug: Placebo Cream
2973,NCT02652416,"Safety, Tolerability and Pharmacokinetics of BI 1026706 in Healthy Chinese and Japanese Male Volunteers",Healthy,Drug: BI 1026706|Drug: Placebo
2975,NCT02652260,"Effects of Switching From ATRIPLA™ (Efavirenz, Tenofovir, Emtricitabine) to MK-1439A (Doravirine, Tenofovir, Lamivudine) in Virologically-Suppressed Participants (MK-1439A-028)",HIV-1|Central Nervous System,Drug: MK-1439A - Blinded|Drug: MK-1439A - Open-Label|Drug: ATRIPLA^TM|Drug: Placebo to ATRIPLA™|Drug: Placebo to MK-1439A
2995,NCT02649192,Influenza Virus Vaccine Plus Vitamin A and D Supplements for Prevention of Respiratory Virus Infections in Children,Healthy Participants,Biological: Influenza virus vaccine|Dietary Supplement: Vitamins A and D|Other: Placebo
3008,NCT02647281,"First Time in Human Study to Assess the Safety, Tolerability and Pharmacokinetics of GSK3389404 in Healthy Subjects",Hepatitis B,Drug: GSK3389404|Drug: Matching Placebo
3011,NCT02646566,Study of APD421 as PONV Treatment (Prior Prophylaxis),Postoperative Nausea and Vomiting,Drug: APD421|Drug: Placebo
3022,NCT02643862,Study Using Xolair in Rush Multi Oral Immunotherapy in Multi Food Allergic Patients,Food Allergy,Drug: Xolair|Drug: Placebo
3039,NCT02642614,"Safety, Tolerability and Pharmacokinetics and Effect on Inflammation of Oral BI 1026706 in Patients With COPD","Pulmonary Disease, Chronic Obstructive",Drug: BI 1026706|Drug: Placebo
3048,NCT02641561,Lactated Ringers With or Without Rectal Indomethacin to Prevent Post-ERCP Pancreatitis,Post-ERCP Acute Pancreatitis,Drug: Indomethacin|Drug: Lactated Ringer's Solution|Drug: Normal Saline|Drug: Placebo
3050,NCT02641392,A Long-term Active Treatment Study of Mongersen (GED-0301) in Subjects With Crohn's Disease,Crohn's Disease,Drug: GED-0301|Other: Placebo
3057,NCT02640482,A Study to Evaluate the Efficacy and Safety of ABT-493/ABT-530 in Adults With Chronic Hepatitis C Virus (HCV) Genotype 2 Infection,Chronic Hepatitis C Virus (HCV) Infection,Drug: ABT-493/ABT-530|Drug: Placebo for ABT-493/ABT-530
3070,NCT02638948,Efficacy and Safety Study of BMS-986142 in Patients With Moderate to Severe Rheumatoid Arthritis,Rheumatoid Arthritis,Drug: BMS-986142|Drug: Placebo|Drug: Methotrexate
3077,NCT02638103,Efficacy and Safety of Subcutaneous Administration of Fremanezumab (TEV-48125) for the Preventive Treatment of Migraine,Migraine,Drug: Fremanezumab|Drug: Placebo
3089,NCT02635984,Study of FOND Versus FOND+O for the Prevention of CINV in Hematology Patients Receiving Highly Emetogenic Chemotherapy Regimens,Complications of Bone Marrow Transplant|Hematologic Neoplasms,Drug: Olanzapine|Drug: Placebo
3117,NCT02632786,"The PRONTO Study, a Global Phase 2b Study of NEOD001 in Previously Treated Subjects With Light Chain (AL) Amyloidosis",AL Amyloidosis,Drug: NEOD001|Drug: Placebo
3125,NCT02630966,Vedolizumab IV 300 mg in the Treatment of Fistulizing Crohn's Disease,Crohn's Disease,Drug: Vedolizumab|Drug: Placebo
3136,NCT02629159,A Study Comparing Upadacitinib (ABT-494) to Placebo and to Adalimumab in Adults With Rheumatoid Arthritis Who Are on a Stable Dose of Methotrexate and Who Have an Inadequate Response to Methotrexate,Rheumatoid Arthritis,Drug: Placebo for Adalimumab|Drug: Adalimumab|Drug: Placebo for Upadacitinib|Drug: Upadacitinib
3144,NCT02628028,A Study of LY3337641 in Rheumatoid Arthritis,Rheumatoid Arthritis,Drug: LY3337641|Drug: Placebo
3157,NCT02625974,Prospective Study of a Pediatric Nifurtimox Formulation for Chagas' Disease,Chagas Disease,"Drug: Nifurtimox (Lampit, BAYA2502)|Drug: Placebo"
3183,NCT02623322,A Study of MHAA4549A as Monotherapy for Acute Uncomplicated Seasonal Influenza A in Otherwise Healthy Adults,Influenza A,Drug: MHAA4549A|Drug: Placebo
3213,NCT02618759,Clinical Study to Evaluate the Efficacy and Safety of DSXS in Patients With Mild to Moderate Plaque Psoriasis,Plaque Psoriasis,Drug: DSXS|Drug: Placebo
3215,NCT02618187,"A Study to Evaluate the Safety, Tolerability and Microbiome Dynamics of SER-287 in Subjects With Mild-to-Moderate Ulcerative Colitis",Ulcerative Colitis,Drug: SER-287|Drug: Placebo|Drug: Placebo Pre-Treat|Drug: Vancomycin Pre-Treat
3245,NCT02614131,A Study of LY2599666 in Healthy Participants and Participants With Mild Cognitive Impairment or Alzheimer's Disease (AD),Healthy|Alzheimer's Disease|Mild Cognitive Impairment,Drug: LY2599666|Drug: Solanezumab|Drug: Placebo SC|Drug: Placebo IV
3256,NCT02612909,A Safety and Immunogenicity Study of IVACFLU-A/H5N1,Avian Influenza,Biological: IVACFLU-A/H5N1 vaccine|Biological: Placebo
3257,NCT02612857,Trial of IMO-8400 in Adult Patients With Dermatomyositis,Dermatomyositis,Drug: IMO-8400 Dose Group 1|Drug: IMO-8400 Dose Group 2|Drug: Placebo
3287,NCT02607956,"Safety and Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide Versus Dolutegravir + Emtricitabine/Tenofovir Alafenamide in HIV-1 Infected, Antiretroviral Treatment-Naive Adults",HIV-1 Infection,Drug: DTG|Drug: F/TAF|Drug: B/F/TAF|Drug: DTG Placebo|Drug: F/TAF Placebo|Drug: B/F/TAF Placebo
3288,NCT02607930,"Safety and Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide Versus Abacavir/Dolutegravir/Lamivudine in HIV-1 Infected, Antiretroviral Treatment-Naïve Adults",HIV-1 Infection,Drug: ABC/DTG/3TC|Drug: B/F/TAF|Drug: ABC/DTG/3TC Placebo|Drug: B/F/TAF Placebo
3290,NCT02607735,Safety and Efficacy of Sofosbuvir/Velpatasvir/Voxilaprevir in Adults With Chronic HCV Infection Who Have Previously Received Treatment With Direct-Acting Antiviral Therapy,Hepatitis C,Drug: SOF/VEL/VOX|Drug: Placebo
3312,NCT02605174,"Three Doses of Lasmiditan (50 mg, 100 mg and 200 mg) Compared to Placebo in the Acute Treatment of Migraine",Migraine With or Without Aura,Drug: Lasmiditan 50 mg|Drug: Lasmiditan 100 mg|Drug: Lasmiditan 200 mg|Drug: Placebo
3322,NCT02604173,Altitude Sickness Prevention and Efficacy of Comparative Treatments,Acute Mountain Sickness,Drug: Budesonide|Drug: Acetazolamide|Drug: Placebo
3323,NCT02604160,A Study of LY3113593 in Participants With Chronic Kidney Disease,Chronic Kidney Disease,Drug: LY3113593|Drug: Placebo
3325,NCT02603952,A Phase 2a to Evaluate the Safety of MEDI8852 in Adults With Uncomplicated Influenza,Influenza,Drug: Oseltamivir|Drug: MEDI8852|Drug: Placebo
3331,NCT02603120,Safety and Efficacy of Switching From Dolutegravir and ABC/3TC or ABC/DTG/3TC to B/F/TAF in HIV-1 Infected Adults Who Are Virologically Suppressed,HIV-1 Infection,Drug: ABC/DTG/3TC|Drug: B/F/TAF|Drug: ABC/DTG/3TC Placebo|Drug: B/F/TAF Placebo
3340,NCT02601560,"To Evaluate Safety, Pharmacokinetics and Pharmacodynamics of MEDI6012 in Subjects With Stable Coronary Artery Disease",Coronary Artery Disease,Biological: MEDI6012|Biological: Placebo SC|Biological: Placebo IV
3356,NCT02599129,A Study of Secukinumab for the Treatment of Alopecia Areata,Alopecia Areata,Drug: Secukinumab|Drug: Placebo
3362,NCT02598128,"Safety, Tolerability and Fat Absorption Using Enteral Feeding In-line Enzyme Cartridge (Relizorb)",Exocrine Pancreatic Insufficiency,Device: RELiZORB|Device: Placebo
3363,NCT02598089,Seasonal Trivalent Inactivated Split Virion Influenza Vaccine Clinical Trial (IVACFLU-S),"Influenza, Human",Biological: Trivalent Seasonal Influenza Vaccine|Other: Placebo
3376,NCT02596893,Efficacy and Safety Study of Mongersen (GED-0301) for the Treatment of Subjects With Active Crohn's Disease,Crohn Disease,Drug: GED-0301|Drug: Placebo
3393,NCT02595073,Clinical Study to Evaluate the Efficacy and Safety of Desoximetasone (DSXS) With Atopic Dermatitis,Atopic Dermatitis,Drug: DSXS|Drug: Placebo
3424,NCT02589626,Long-term Safety and Efficacy of Empagliflozin as Add on to GLP-1 RA,"Diabetes Mellitus, Type 2",Drug: empagliflozin 10mg|Drug: empagliflozin 25 mg|Drug: Placebo
3440,NCT02586025,Study in Participants With Early-Stage or Locally Advanced Human Epidermal Growth Factor Receptor (HER) 2-Positive Breast Cancer to Evaluate Treatment With Trastuzumab Plus (+) Pertuzumab + Docetaxel Compared With Trastuzumab + Placebo + Docetaxel,Breast Cancer,Drug: FEC Chemotherapy|Procedure: Surgery|Drug: Docetaxel|Drug: Pertuzumab|Drug: Placebo|Drug: Trastuzumab
3447,NCT02585700,"A Study of a Seasonal Trivalent Split, Inactivated Influenza Vaccine","Influenza, Human","Biological: Influenza vaccine, split inactivated|Other: Placebo"
3525,NCT02576951,A Study of Galcanezumab in Healthy Participants,Healthy,Drug: Galcanezumab|Drug: Placebo
3526,NCT02576938,A Study of Baricitinib (LY3009104) in Participants With Moderate-to-Severe Atopic Dermatitis,Atopic Dermatitis,Drug: Baricitinib|Drug: Placebo|Drug: Triamcinolone (Optional)
3529,NCT02576639,Dose-ranging Safety and Tolerability Study in Subjects ≥60 Years of Age,Alzheimer's Disease,Drug: CNP520|Drug: Placebo
3551,NCT02573467,"An Extension Study of the Efficacy, Safety and Tolerability of BYM338 (Bimagrumab) in Patients With Sporadic Inclusion Body Myositis Who Previously Participated in the Core Study CBYM338B2203",Sporadic Inclusion Body Myositis,Drug: Bimagrumab|Drug: Placebo
3555,NCT02573155,"Two-part Safety, Tolerability, Pharmacodynamic and -Kinetic Study of Inhaled AZD8871 in Asthmatic and COPD Subjects",Asthma (Part 1)|COPD (Part 2),"Drug: Dose 1, AZD8871 50 μg (Part 1)|Drug: Dose 2, AZD8871 100 μg (Part 1)|Drug: Dose 3, AZD8871 300 μg (Part 1)|Drug: Dose 4, AZD8871 600 µg (Part 1)|Drug: Dose 5, AZD8871 1200 µg (Part 1)|Drug: Dose 6, AZD8871 1800 μg (Part 1)|Drug: Placebo, AZD8871 placebo (Part 1)|Drug: Treatment A, AZD8871 dose A (Part 2)|Drug: Treatment B, AZD8871 dose B (Part 2)|Drug: Treatment C, Indacaterol 150 μg (Part 2)|Drug: Treatment D, Tiotropium 18 μg (Part 2)"
3601,NCT02566759,"A TAK-831-1001, Single and Multiple Rising Dose Study in Healthy Participants","Schizophrenia, Cerebellar Ataxia",Drug: TAK-831 Oral Suspension|Drug: TAK-831 Placebo|Drug: TAK-831 Tablet
3604,NCT02566369,Efficacy and Safety of CD5789 (Trifarotene) 50μg/g Cream Versus Vehicle Cream in Acne Vulgaris,Acne Vulgaris,Drug: CD5789 (trifarotene) 50μg/g cream|Drug: Placebo cream
3606,NCT02566265,Study of High-dose Influenza Vaccine Efficacy by Repeated Dosing IN Gammopathy Patients,Influenza|Multiple Myeloma|Waldenstrom's Macroglobulinemia|Plasma Cell Disorders|MGUS,Biological: Fluzone High Dose Vaccine|Biological: Standard of care/Placebo
3609,NCT02566044,"Safety, Pharmacokinetics and Pharmacodynamics Study of Inhaled QBW276 in Patients With Cystic Fibrosis",Pulmonary Cystic Fibrosis,Other: Placebo|Drug: QBW276
3635,NCT02563106,A Study of SYN-004 for the Prevention of C.Diff in Patients With a LRTI,Clostridium Difficile|Clostridium Infections,Drug: SYN-004|Drug: Placebo
3643,NCT02561806,A Study of Ixekizumab (LY2439821) in Participants With Moderate-to-Severe Plaque Psoriasis,Plaque Psoriasis,Drug: Ixekizumab|Drug: Ustekinumab|Drug: Placebo
3644,NCT02561702,Mexiletine for Muscle Cramps in Charcot Marie Tooth Disease,Charcot Marie Tooth Disease,Other: Placebo|Drug: Mexiletine
3647,NCT02561195,A Study To Investigate Two 3-dose Schedules Of A Clostridium Difficile Vaccine In Healthy Adults Aged 65 to 85 Years,Clostridium Difficile Associated Disease,Biological: Clostridium difficile Vaccine|Biological: Placebo
3648,NCT02561156,TAK-653 Escalating Single and Multiple Dose Study in Healthy Participants,Depressive Disorder,Drug: TAK-653 Placebo|Drug: TAK-653
3676,NCT02556788,Double-Blind Efficacy and Safety of CD5789 (Trifarotene) 50µg/g Cream Versus Vehicle Cream in Acne Vulgaris,Acne Vulgaris,Drug: CD5789 (trifarotene) 50µg/g Cream|Drug: Placebo Cream
3683,NCT02555878,A Study to Evaluate the Efficacy and Safety of Rivaroxaban Venous Thromboembolism (VTE) Prophylaxis in Ambulatory Cancer Participants,Neoplasms,Drug: Rivaroxaban|Drug: Placebo
3736,NCT02549014,"A Single Dose Study of the Safety, Pharmacokinetics and Pharmacodynamics of MK-1064 (MK-1064-001)",Pharmacokinetics,Drug: MK-1064|Drug: Placebo
3737,NCT02548962,Study of Ibrutinib in Combination With Pomalidomide and Dexamethasone in Subjects With Relapsed/Refractory Multiple Myeloma,Multiple Myeloma,Drug: Ibrutinib|Drug: Pomalidomide|Drug: Dexamethasone|Drug: Placebo
3747,NCT02547974,"A Study to Evaluate the Safety, Reactogenicity and Immunogenicity of the Investigational GSK Biologicals' GSK3277511A Vaccine in Adults.",Respiratory Disorders,Biological: Formulation 1 (plain): NTHi/Mcat vaccine GSK3277513A|Biological: Formulation 2 (adjuvanted): NTHi/Mcat vaccine GSK3277513A|Biological: Formulation 3 (adjuvanted): NTHi/Mcat vaccine GSK3339036A|Drug: Placebo
3777,NCT02543892,A Study of a Vaccine for Pneumonia in Adults and Toddlers in Kenya,Pneumonia,Biological: PATH-wSP|Biological: Placebo
3787,NCT02542605,To Evaluate the Blockade of CGRP in Preventing PACAP-38 Induced Migraine-like Attacks With AMG 334 in Migraine Patients,Migraine,Drug: Erenumab|Drug: Placebo|Drug: PACAP-38 Challenge Agent
3801,NCT02540265,Placebo-Controlled Evaluation of N1539 Following Bunionectomy Surgery,"Pain, Post-operative",Drug: N1539|Drug: Intravenous Placebo
3811,NCT02539134,TAK-935 Multiple Rising Dose Study in Healthy Participants,Epilepsy,Drug: TAK-935|Drug: Placebo
3847,NCT02533570,Dose Ranging Study of Brentuximab Vedotin in Adults With Lupus,Systemic Lupus Erythematosus,Drug: Brentuximab vedotin|Drug: Placebo
3859,NCT02532764,Dose Escalation Study of QR-010 in Homozygous ΔF508 Cystic Fibrosis Patients,Cystic Fibrosis,Drug: QR-010|Drug: Placebo
3860,NCT02532647,Safety and Efficacy of Remimazolam in ASA III and IV Patients Undergoing Colonoscopy,Colonoscopy,Drug: Remimazolam|Drug: Midazolam|Drug: Placebo
3869,NCT02531633,Efficacy and Safety Study of Sirukumab in Patients With Giant Cell Arteritis,Giant Cell Arteritis,Drug: Sirukumab|Drug: Placebo to match sirukumab|Drug: Prednisone|Drug: Placebo to match prednisone
3874,NCT02531035,A Phase 3 Study to Evaluate the Safety of Sotagliflozin in Patients With Type 1 Diabetes Who Have Inadequate Glycemic Control With Insulin Therapy Alone,Type 1 Diabetes Mellitus (T1DM)|High Level of Sugar (Glucose) in the Blood,Drug: Sotagliflozin|Drug: Placebo
3911,NCT02525094,Phase 2a Study to Evaluate the Efficacy and Safety of MEDI9929 in Adults With Atopic Dermatitis,Atopic Dermatitis,Biological: MEDI9929|Biological: Placebo
3914,NCT02524561,KEEPS Mammographic Density And Breast Health Ancillary Study,Mammographic Density|Abnormal Mammogram,Drug: CEE pill|Drug: Estradiol patch|Drug: Active Progesterone|Other: Placebo tablet|Other: Placebo patch|Other: Placebo progesterone
3939,NCT02520284,Safety and Efficacy of Andecaliximab (GS-5745) in Adults With Moderately to Severely Active Ulcerative Colitis,Ulcerative Colitis,Biological: Andecaliximab|Biological: Placebo
3942,NCT02519842,Efficacy and Safety Study of Fosaprepitant (MK-0517) Plus Ondansetron Versus Ondansetron Alone for the Prevention of Chemotherapy-Induced Nausea and Vomiting in Pediatric Participants (MK-0517-044),Chemotherapy-induced Nausea and Vomiting,Drug: Fosaprepitant|Drug: Placebo for fosaprepitant|Drug: Ondansetron|Drug: Dexamethasone|Drug: 5-HT3 antagonist
3948,NCT02519036,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ISIS 443139 in Participants With Early Manifest Huntington's Disease",Huntington's Disease,Drug: ISIS 443139 10 mg|Drug: ISIS 443139 30 mg|Drug: ISIS 443139 60 mg|Drug: ISIS 443139 90 mg|Drug: ISIS 443139 120 mg|Other: Placebo
3950,NCT02518971,Trial of Prophylactic Tamsulosin for Postoperative Urinary Retention in Primary Total Hip and Knee Arthroplasty Patients,Postoperative Urinary Retention,Drug: Tamsulosin|Drug: Placebo
3957,NCT02518113,A Study of LY3039478 in Combination With Dexamethasone in Participants With T-ALL/T-LBL,T-cell Acute Lymphoblastic Leukemia|T-cell Lymphoblastic Lymphoma,Drug: LY3039478|Drug: Dexamethasone|Drug: Placebo
3966,NCT02517515,"ABT-450/Ritonavir/ABT-267 (ABT-450/r/ABT-267) and ABT-333 in Treatment-Naïve and Treatment-Experienced, Non-Cirrhotic Asian Adults With Subgenotype 1b Chronic Hepatitis C Virus (HCV) Infection",Hepatitis C Virus (HCV),Drug: ombitasvir/paritaprevir/ritonavir and dasabuvir|Drug: Placebo for ombitasvir/paritaprevir/ritonavir and dasabuvir
3982,NCT02515669,"Study of an Investigational Drug, RO7239361 (BMS-986089), in Ambulatory Boys With DMD",Muscular Dystrophy (DMD),Drug: RO7239361|Drug: Placebo
3983,NCT02515656,Assessment of the Efficacy of POLYGYNAX® in the Empirical Treatment of Infectious Vaginitis,Vaginitis,Drug: POLYGYNAX®|Drug: GYNODAKTARIN®|Drug: Placebo
3984,NCT02515331,Safety and Efficacy Study of LHW090 in Resistant Hypertension Patients,"Patients, Resistant Hypertension",Drug: LHW090|Drug: Placebo
4002,NCT02513550,A Study Comparing Different Dosing Regimens of Ixekizumab (LY2439821) in Participants With Moderate to Severe Plaque Psoriasis,Plaque Psoriasis,Drug: Ixekizumab|Drug: Placebo
4013,NCT02512575,"A Single Ascending Dose Study To Assess The Safety, Tolerability, Pharmacokinetics And Pharmacodynamics Of AZD9567.",Safety|Tolerability|Pharmacokinetics|Pharmacodynamics|Healthy Subjects|Rheumatoid Arthritis,Drug: AZD9567 Monohydrat|Drug: Placebo oral suspension/ Placebo capsule|Drug: Prednisolone
4027,NCT02511431,Treatment of Chronic Delta Hepatitis With Lonafarnib and Ritonavir,Hepatitis D,Drug: Lonafarnib|Drug: Ritonavir|Other: Placebo
4035,NCT02509117,First-In-Human Study Of Single And Multiple Ascending Doses Of PF-06751979,Healthy Subjects,Drug: PF-06751979 single ascending dose|Drug: Placebo single dose|Drug: PF-06751979 multiple ascending dose|Drug: Placebo multiple dose|Drug: PF-06751979 multiple dose
4041,NCT02508194,A Study to Evaluate the Efficacy of MEDI7510 in Older Adults,Respiratory Syncytial Virus,Biological: MEDI7510|Biological: IIV|Other: Placebo
